,tiempo,eeg
0,0.0,4882.399177355717
1,0.3431081771850586,5924.6221530715375
2,0.34313130378723145,4491.416549147954
3,0.34314966201782227,4472.462272257206
4,0.34316110610961914,4841.713046115117
5,0.3432033061981201,5960.361098973026
6,0.3432135581970215,4782.1322435795955
7,0.34322428703308105,4400.889014470344
8,0.3432347774505615,4779.575203896613
9,0.3432459831237793,5774.346922858404
10,0.34325671195983887,5004.6483032136275
11,0.34326720237731934,4217.151736858403
12,0.3432776927947998,4644.189213716312
13,0.3816487789154053,5496.678685393923
14,0.381669282913208,5260.668133536015
15,0.3816854953765869,4116.521215142584
16,0.3816964626312256,4559.669828071539
17,0.38170719146728516,5178.550815393926
18,0.3817176818847656,5439.333056536016
19,0.381727933883667,4010.2759353939255
20,0.38173866271972656,4388.497210626956
21,0.38174891471862793,4860.267972251837
22,0.3817625045776367,5601.10602318079
23,0.3817732334136963,4068.926905858403
24,0.43183112144470215,4316.5722842846735
25,0.43184399604797363,4674.963092033329
26,0.43186163902282715,5651.9249431425815
27,0.431873083114624,4164.002274393926
28,0.431884765625,4147.390460716313
29,0.4318966865539551,4508.707856109748
30,0.43190836906433105,5658.3980077163105
31,0.43192195892333984,4479.841326503178
32,0.4319336414337158,4160.795544574223
33,0.4319448471069336,4577.8909680004945
34,0.43195629119873047,5655.632351820193
35,0.47914695739746094,4153.8039199622835
36,0.4791688919067383,4582.927560497807
37,0.4791874885559082,5408.439968962284
38,0.4791991710662842,5073.5512723557185
39,0.47921085357666016,3932.819699536016
40,0.47922515869140625,4353.908633858402
41,0.4792368412017822,4996.47054618079
42,0.4792482852935791,5237.821674038703
43,0.479259729385376,3840.2834887163153
44,0.47927117347717285,4246.8527312846745
45,0.47928500175476074,4733.357762355718
46,0.5318365097045898,5431.775187284675
47,0.5318560600280762,3905.41944474915
48,0.5318679809570312,4178.670978033329
49,0.5318915843963623,5599.842404137209
50,0.5319035053253174,4134.945010175419
51,0.5319147109985352,4176.757669104376
52,0.5319263935089111,4541.269873639896
53,0.5319380760192871,5643.461084104372
54,0.5319514274597168,4386.256074317509
55,0.5319631099700928,4066.179131853034
56,0.5566821098327637,4438.445901104376
57,0.5567171573638916,5495.325659891238
58,0.5567312240600586,4664.234256104373
59,0.5567429065704346,3966.8181893175097
60,0.5567548274993896,4387.942885639899
61,0.5567679405212402,5251.083707284673
62,0.556786060333252,4887.978171607061
63,0.5567977428436279,3790.6387794978073
64,0.556809663772583,4224.679802781986
65,0.5568218231201172,4887.960290568852
66,0.5568335056304932,5059.705113284672
67,0.6069424152374268,3669.247960033328
68,0.6069660186767578,4065.177773924075
69,0.606987714767456,4540.96588974378
70,0.6070125102996826,5177.495812672732
71,0.607053279876709,3641.054963459599
72,0.607074499130249,3918.9198966016884
73,0.6070959568023682,4313.109254066167
74,0.6071162223815918,5311.51685631751
75,0.607135534286499,3836.796616853033
76,0.6071555614471436,3914.288615530644
77,0.6071751117706299,4299.197530530644
78,0.6072375774383545,5441.919898137214
79,0.6705749034881592,4193.053578492436
80,0.6706140041351318,3940.043782241093
81,0.6706323623657227,4341.683720667363
82,0.6706676483154297,4555.557107273929
83,0.670684814453125,3902.8564446673627
84,0.6707024574279785,4338.065718809452
85,0.6707196235656738,5250.141953809452
86,0.67073655128479,4884.246920738409
87,0.6707544326782227,3858.701323629157
88,0.6707746982574463,4325.387811235723
89,0.6707921028137207,5017.159317809452
90,0.6967055797576904,5140.707825596317
91,0.6967360973358154,3775.457477022588
92,0.6967506408691406,4171.595906842289
93,0.6967623233795166,4652.134513235724
94,0.6967742443084717,5223.069524306768
95,0.6967856884002686,3666.7803285199006
96,0.6967973709106445,3934.923743913336
97,0.6968088150024414,4300.800895055425
98,0.6968204975128174,5203.578802626958
99,0.6968319416046143,3669.8320836269595
100,0.6968464851379395,3731.1831463396047
101,0.7568933963775635,4075.9483333396056
102,0.7569079399108887,5192.951297017218
103,0.7569196224212646,3906.236027552739
104,0.7569313049316406,3679.0529243724413
105,0.7569448947906494,4073.665475514532
106,0.7569575309753418,5202.0588867658735
107,0.7569692134857178,4323.1168741593065
108,0.7569808959960938,3745.428656907963
109,0.7569923400878906,4218.665694765874
110,0.7570054531097412,5193.50562055274
111,0.757021427154541,4794.470404410651
112,0.7570328712463379,3810.594415017218
113,0.8055658340454102,4284.2665666237845
114,0.8055934906005859,5011.675690623782
115,0.805612325668335,5099.282597552741
116,0.8056244850158691,3761.897420088262
117,0.805635929107666,4183.421468230354
118,0.8056485652923584,4698.936079907962
119,0.8056612014770508,5247.978305301396
120,0.8056728839874268,3702.3523796566224
121,0.80568528175354,3999.308681011844
122,0.8057267665863037,4383.07914697364
123,0.8057396411895752,5291.930770257819
124,0.8517944812774658,3734.085892864383
125,0.8518133163452148,3826.240633793339
126,0.8518247604370117,4164.544676973637
127,0.8518381118774414,5257.491202626959
128,0.8518497943878174,3892.15741122498
129,0.8518624305725098,3676.025008367069
130,0.8518764972686768,4031.215047547368
131,0.8518879413604736,5145.7980621921415
132,0.8518996238708496,4157.398080585575
133,0.8519113063812256,3571.0969914434863
134,0.8519225120544434,4006.9201938369188
135,0.8791460990905762,5044.839714979007
136,0.8791821002960205,3629.5155039079655
137,0.8791995048522949,4133.860205443485
138,0.8792111873626709,5025.170182334234
139,0.8792228698730469,5211.202239727667
140,0.8792345523834229,3872.6964941921433
141,0.8792464733123779,4399.792288869754
142,0.8792603015899658,5249.021386798711
143,0.8792715072631836,6077.25176737244
144,0.8792831897735596,4464.940165623786
145,0.9294607639312744,4994.134044126469
146,0.9294755458831787,5430.326795306766
147,0.929487943649292,6453.368996629153
148,0.9295122623443604,4899.863337700201
149,0.9295239448547363,5142.43636084229
150,0.9295356273651123,6097.344492771244
151,0.9295473098754883,4458.544587771245
152,0.9295587539672852,4277.495478771245
153,0.929570198059082,4526.827668771246
154,0.929581880569458,5468.908884626962
155,0.9295930862426758,4285.565947984378
156,0.9755680561065674,3705.320691126468
157,0.975595235824585,4059.9802483067688
158,0.9756069183349609,4903.129672093633
159,0.975618839263916,4243.377779951541
160,0.9756302833557129,3288.0285728804993
161,0.9756443500518799,3704.569672416019
162,0.9756557941436768,4359.290932700202
163,0.9756672382354736,4224.244689055424
164,0.9756786823272705,2953.294848733036
165,0.9757192134857178,3351.2094966619916
166,0.9757308959960938,3843.7167158751254
167,0.9757423400878906,4227.993821410648
168,1.0,4580.668543601689
169,1.0229144096374512,2784.357403623784
170,1.0229380130767822,3110.049104192145
171,1.0229535102844238,3493.9745421921434
172,1.0229713916778564,4244.188403443488
173,1.0229830741882324,2766.5296546948302
174,1.0229957103729248,2898.029422230353
175,1.023007869720459,3234.4797603396037
176,1.0230193138122559,4230.974053590948
177,1.0230348110198975,2908.3887093396042
178,1.0230460166931152,2798.5552307330363
179,1.0230579376220703,3164.0151495909486
180,1.071845531463623,4236.183499377814
181,1.0718638896942139,3255.4546347712458
182,1.071876049041748,2817.7002427002008
183,1.0718879699707031,3229.520654022588
184,1.0719025135040283,4219.243859809452
185,1.0719139575958252,3671.590422847661
186,1.0719263553619385,2858.839372626957
187,1.0719420909881592,3290.8299914924355
188,1.071953535079956,4072.705840350347
189,1.071965217590332,3998.77819988587
190,1.071976661682129,2836.112116814824
191,1.0719883441925049,3250.4716863503454
192,1.1204419136047363,3844.6823115306433
193,1.1204626560211182,4278.830623175421
194,1.1204807758331299,2893.3564175688516
195,1.120492696762085,3250.733946568853
196,1.1205041408538818,3699.866866749151
197,1.120516061782837,4500.708912678107
